internal_entity_id,entity_type,provider_name,provider_entity_id,canonical_key,observed_name,mapping_status,mapping_confidence,model_eligible_identity
7670f8f1-9def-5967-998c-d2a6614dd040,team,football-data.co.uk-legacy,E1:Sunderland,E1:Sunderland,Sunderland,PROBABLE,0.65,False
5107273b-21e9-52a8-92f0-fd011ca820e1,team,football-data.co.uk-legacy,E1:Swansea,E1:Swansea,Swansea,PROBABLE,0.65,False
0242b881-77df-58d3-aed3-2ac125e126a7,team,football-data.co.uk-legacy,E1:Watford,E1:Watford,Watford,PROBABLE,0.65,False
057fb637-0b70-5e99-baea-590ef7f2ad18,team,football-data.co.uk-legacy,E1:West Brom,E1:West Brom,West Brom,PROBABLE,0.65,False
5806050c-24f0-5c28-b8fd-19c6b6a84b72,team,football-data.co.uk-legacy,E1:Wigan,E1:Wigan,Wigan,PROBABLE,0.65,False
98ee5cbc-5d3c-5d1a-af46-bafac2177fdc,team,football-data.co.uk-legacy,E1:Wolves,E1:Wolves,Wolves,PROBABLE,0.65,False
fc832e78-a22d-5057-beb7-d22b7f1e6e7e,team,football-data.co.uk-legacy,E1:Wrexham,E1:Wrexham,Wrexham,PROBABLE,0.65,False
55858400-0a2d-5d44-a42d-1b065bacc03f,team,football-data.co.uk-legacy,E1:Wycombe,E1:Wycombe,Wycombe,PROBABLE,0.65,False
5afbc720-181f-562d-9583-4b8c256ed347,team,football-data.co.uk-legacy,F1:Ajaccio,F1:Ajaccio,Ajaccio,PROBABLE,0.65,False
3a7b6559-bf57-5ae9-bc03-456eb7ef613d,team,football-data.co.uk-legacy,F1:Ajaccio GFCO,F1:Ajaccio GFCO,Ajaccio GFCO,PROBABLE,0.65,False
1aa1c6fb-f7ab-57ef-9145-a1bc96c2ce4b,team,football-data.co.uk-legacy,F1:Amiens,F1:Amiens,Amiens,PROBABLE,0.65,False
fa123931-5245-50ef-a852-070e97da3d1e,team,football-data.co.uk-legacy,F1:Angers,F1:Angers,Angers,PROBABLE,0.65,False
132a9be7-c6c6-50c6-978a-20defac8f090,team,football-data.co.uk-legacy,F1:Auxerre,F1:Auxerre,Auxerre,PROBABLE,0.65,False
e3e4f811-7408-551d-a4f3-b09b173464b4,team,football-data.co.uk-legacy,F1:Bastia,F1:Bastia,Bastia,PROBABLE,0.65,False
8923cef5-b6f3-5f21-b55d-ed97fe5c067e,team,football-data.co.uk-legacy,F1:Bordeaux,F1:Bordeaux,Bordeaux,PROBABLE,0.65,False
b1ce1cc1-62a4-52c7-8388-7fbd26703386,team,football-data.co.uk-legacy,F1:Brest,F1:Brest,Brest,PROBABLE,0.65,False
6603d3af-ade2-5f45-9a7a-20bed91a2fe3,team,football-data.co.uk-legacy,F1:Caen,F1:Caen,Caen,PROBABLE,0.65,False
32ad967e-ce71-582b-b17f-6b372d434c6b,team,football-data.co.uk-legacy,F1:Clermont,F1:Clermont,Clermont,PROBABLE,0.65,False
76eef600-0ee8-59f3-a73c-7388ade6df9b,team,football-data.co.uk-legacy,F1:Dijon,F1:Dijon,Dijon,PROBABLE,0.65,False
0fa02acb-1da2-598c-99b9-064bbefe8143,team,football-data.co.uk-legacy,F1:Guingamp,F1:Guingamp,Guingamp,PROBABLE,0.65,False
23edd251-7d12-559f-993b-1b72dc319b57,team,football-data.co.uk-legacy,F1:Le Havre,F1:Le Havre,Le Havre,PROBABLE,0.65,False
1390fb02-3d98-5b55-9ce8-98540342d1b5,team,football-data.co.uk-legacy,F1:Lens,F1:Lens,Lens,PROBABLE,0.65,False
c7452f3f-d158-5594-9c44-28c7e84fbb72,team,football-data.co.uk-legacy,F1:Lille,F1:Lille,Lille,PROBABLE,0.65,False
fe008b0e-0fe9-555f-90b5-bf1ddeb113da,team,football-data.co.uk-legacy,F1:Lorient,F1:Lorient,Lorient,PROBABLE,0.65,False
38334c30-a7c6-5969-b4eb-63e439a6fe81,team,football-data.co.uk-legacy,F1:Lyon,F1:Lyon,Lyon,PROBABLE,0.65,False
4c925044-6a3a-5fb4-a1e6-1aed72854ea2,team,football-data.co.uk-legacy,F1:Marseille,F1:Marseille,Marseille,PROBABLE,0.65,False
2db7d706-92f3-5075-83d0-93447d65a66d,team,football-data.co.uk-legacy,F1:Metz,F1:Metz,Metz,PROBABLE,0.65,False
53736ec9-2e42-5938-bdb4-8d3337ba518d,team,football-data.co.uk-legacy,F1:Monaco,F1:Monaco,Monaco,PROBABLE,0.65,False
f0329948-2f42-52ac-9aa5-de3658ec250e,team,football-data.co.uk-legacy,F1:Montpellier,F1:Montpellier,Montpellier,PROBABLE,0.65,False
8243bb0d-e175-5ce1-ac0b-1864d4bfe76a,team,football-data.co.uk-legacy,F1:Nancy,F1:Nancy,Nancy,PROBABLE,0.65,False
ecf13836-3a62-5634-bec9-3e5eb5007945,team,football-data.co.uk-legacy,F1:Nantes,F1:Nantes,Nantes,PROBABLE,0.65,False
81dcc985-cb74-5c81-ba39-a72add9fade7,team,football-data.co.uk-legacy,F1:Nice,F1:Nice,Nice,PROBABLE,0.65,False
d3a4b00b-c4c0-5afc-80ff-c0966c82323d,team,football-data.co.uk-legacy,F1:Nimes,F1:Nimes,Nimes,PROBABLE,0.65,False
afc8c5d5-6dd8-5e54-9a6c-82d59a813b95,team,football-data.co.uk-legacy,F1:Paris FC,F1:Paris FC,Paris FC,PROBABLE,0.65,False
db46b30f-dbe4-5fb5-a810-011db535aaed,team,football-data.co.uk-legacy,F1:Paris SG,F1:Paris SG,Paris SG,PROBABLE,0.65,False
fa4e8bc1-d87e-5797-9a58-1e112dbc2fbf,team,football-data.co.uk-legacy,F1:Reims,F1:Reims,Reims,PROBABLE,0.65,False
033c1319-041f-5839-b520-16c1e399802b,team,football-data.co.uk-legacy,F1:Rennes,F1:Rennes,Rennes,PROBABLE,0.65,False
5c67d830-fb11-5b0e-a67a-e46cf1f4552b,team,football-data.co.uk-legacy,F1:St Etienne,F1:St Etienne,St Etienne,PROBABLE,0.65,False
