marche,etage,n,obs,ref,delta,roi,roi_lo,roi_hi,ic_lo,ic_hi,z,p,saisons_pos,saisons_tot,pct_cloture,statut,id,nom,fdr,verdict
CS_SELF,1,40297,0.27503288085961736,0.2749208444743254,0.00011203638529194704,,,,0.2706946341937202,0.27941401663902066,0.05074526186498114,0.9595285093341659,7.0,10.0,,,S038,Recuperation longue,False,BRUIT
WIN_ADV,2,5161,0.41019182329006004,0.4111995289162603,-0.0010077056262002837,-0.04018794807207905,-0.07755487838126125,-0.002821017762896852,0.39684389521996766,0.4236733496845033,-0.15781157194373566,0.8746052798332311,4.0,10.0,1.0,,S044,Apres defaite lourde,False,BRUIT
WIN_ADV,2,37,0.35135135135135137,0.4148874034707918,-0.06353605211944041,-0.20864864864864865,-0.5835911617522668,0.1662938644549695,0.2182540663110087,0.5124127048243043,-0.8254271874789364,0.40912910495926536,0.0,0.0,1.0,,S045,Humiliation en derby,False,N_TROP_FAIBLE
TEAM_O15_ADV,1,37,0.3783783783783784,0.3778577338948856,0.0005206444834928159,,,,0.2406378746389103,0.5389985744718004,0.006576844229549121,0.9947524753606394,0.0,0.0,,,S045,Humiliation en derby,False,N_TROP_FAIBLE
MT1_SELF,1,11223,0.3616680032076985,0.294529643365996,0.06713835984170247,,,,0.3528271792822042,0.37060349600228537,15.701675818856552,0.0,10.0,10.0,,,S049,Fort en MT1,True,SIGNAL_E1
O05_MT1,1,11223,0.7260981912144703,0.708035335434974,0.01806285577949629,,,,0.7177710614301166,0.734270588467215,4.226280162687752,2.3758615894209356e-05,10.0,10.0,,,S049,Fort en MT1,True,SIGNAL_E1
O05_MT1,1,10899,0.7037342875493164,0.7074425632306921,-0.003708275681375661,,,,0.6950912058694436,0.7122337982836022,-0.8545279249480942,0.39281254359524365,4.0,10.0,,,S050,Encaisse en MT1,False,BRUIT
MT1_ADV,1,10899,0.3125974860078906,0.2943671908633401,0.01823029514455049,,,,0.3039619589268593,0.3213650750823297,4.201906865592558,2.6467602918467392e-05,9.0,10.0,,,S050,Encaisse en MT1,True,SIGNAL_E1
U05_MT1,1,14270,0.30637701471618783,0.3083198093146779,-0.0019427945984900608,,,,0.2988662705863761,0.3139919805518458,-0.5044480584116201,0.613946553751421,4.0,10.0,,,S051,Solide en MT1,False,BRUIT
MT2_SELF,1,13679,0.39154908984574893,0.32804250369338356,0.06350658615236537,,,,0.38340097914383675,0.3997580979882115,15.929326617135219,0.0,10.0,10.0,,,S052,Fort en MT2,True,SIGNAL_E1
WIN_SELF,2,1454,0.655433287482806,0.6583852996977426,-0.0029520122149365724,-0.0340990371389271,-0.07559715744096078,0.0073990831631065845,0.6306252072080886,0.6794221943751836,-0.25663202155279263,0.7974628530412216,5.0,10.0,1.0,,S054,Forteresse,False,BRUIT
DC_SELF,2*,1454,0.8459422283356258,0.8490128099922136,-0.003070581656587801,,,,0.8264766118944038,0.8635846403019938,-0.34790294234665115,0.7279130754802523,4.0,10.0,1.0,,S054,Forteresse,False,BRUIT
WIN_SELF,2,360,0.5333333333333333,0.5411331130517025,-0.007799779718369204,-0.07902777777777778,-0.18207216977603743,0.024016614220481874,0.48171733873830913,0.5842454318739574,-0.3272407533284317,0.7434857994779804,4.0,8.0,1.0,,S056,Solide dans les chocs,False,BRUIT
DC_SELF,2*,360,0.7583333333333333,0.7578085943054315,0.0005247390279018438,,,,0.7115328338912483,0.7996786383538166,0.02508864677433146,0.9799842558950009,4.0,8.0,1.0,,S056,Solide dans les chocs,False,BRUIT
WIN_ADV,2,4233,0.37892747460429954,0.37323535625225496,0.005692118352044584,-0.01714859437751004,-0.060462976923098134,0.026165788168078054,0.36442906203347053,0.39364544327727796,0.8101204793345518,0.4178709350950016,7.0,10.0,0.9997637609260571,,S057,Faible a domicile,False,BRUIT
DC_ADV,2*,4233,0.6491849751948973,0.6436743099350041,0.005510665259893188,,,,0.6346790205505851,0.6634203938811464,0.783827549025251,0.4331413065098113,6.0,10.0,0.9997637609260571,,S057,Faible a domicile,False,BRUIT
WIN_SELF,2,1032,0.5406976744186046,0.5437008185062053,-0.0030031440876007176,-0.052810077519379835,-0.11466818732911344,0.009048032290353773,0.5101979527214002,0.5708955272083496,-0.20875214928045882,0.8346417276170559,6.0,10.0,1.0,,S058,Voyageur fort,False,BRUIT
DC_SELF,2*,1032,0.7761627906976745,0.7702690427675088,0.005893747930165616,,,,0.7497344124664879,0.8005427727711006,0.4814181367994187,0.6302193489758281,6.0,10.0,1.0,,S058,Voyageur fort,False,BRUIT
WIN_ADV,2,8760,0.5081050228310502,0.5064531979510909,0.001651824879959296,-0.024175799086757994,-0.04657614777594207,-0.0017754503975739196,0.4976344808549574,0.5185684591890524,0.32736361911426426,0.7433928795740732,4.0,10.0,1.0,,S059,Faible a l'exterieur,False,BRUIT
CS_ADV,1,8763,0.36231884057971014,0.3180953705772094,0.044223470002500764,,,,0.35231705065630425,0.372441293329288,8.918340179073157,0.0,10.0,10.0,,,S059,Faible a l'exterieur,True,SIGNAL_E1
WIN_SELF,2,463,0.6285097192224622,0.6293383644678253,-0.0008286452453630799,-0.0432829373650108,-0.1221335123243994,0.03556763759437779,0.5836064864587361,0.6712979607884674,-0.04037616672011881,0.9677932309534352,4.0,8.0,1.0,,S060,Finisseur de saison,False,BRUIT
DC_SELF,2*,463,0.8272138228941684,0.817483496265355,0.009730326628813457,,,,0.7901203619697466,0.8589220541302753,0.589189623166859,0.5557340773716593,7.0,8.0,1.0,,S060,Finisseur de saison,False,BRUIT
TEAM_O15_ADV,1,10095,0.44735017335314514,0.39468254688491966,0.05266762646822548,,,,0.43767247240259743,0.457067930298639,10.933526380144752,0.0,10.0,10.0,,,S061,Defense passoire,True,SIGNAL_E1
BTTS_Y,1,10095,0.5272907379891035,0.5335828264333139,-0.006292088444210364,,,,0.5175429643334005,0.5370177488478024,-1.2723458003410588,0.20325028227023,4.0,10.0,,,S061,Defense passoire,False,BRUIT
WIN_ADV,2,10094,0.4465028729938577,0.447561235402445,-0.00105836240858731,-0.0360689518525857,-0.06085178825720137,-0.011286115447970028,0.4368267797166901,0.45621967092282084,-0.23024399858491343,0.817902174187908,5.0,10.0,0.9998018624925699,,S061,Defense passoire,False,BRUIT
WIN_SELF,2,60,0.5333333333333333,0.5382320992827744,-0.004898765949441053,-0.07283333333333332,-0.30567117484038897,0.16000450817372236,0.40893208671135106,0.65372298459012,-0.07999215231289784,0.9362434975174314,1.0,2.0,1.0,,S065,"Montee assuree, dynamique",False,BRUIT
WIN_ADV,2,4681,0.39927365947447124,0.39052284304384394,0.008750816430627306,-0.02185644093142491,-0.06393832695260906,0.02022544508975924,0.3853316772952318,0.4133808341373852,1.3221557053739845,0.1861163074295611,9.0,10.0,1.0,,S066,Objectif rate recent,False,BRUIT
WIN_ADV,2,159,0.5345911949685535,0.5344559029969117,0.0001352919716417489,-0.022012578616352214,-0.19217301405429618,0.14814785682159173,0.457157962499145,0.6103923440564282,0.003789621119292764,0.9969763270549017,3.0,8.0,1.0,,S067,Sans enjeu vs en lutte,False,BRUIT
DC_ADV,2*,159,0.7232704402515723,0.7506180503337558,-0.02734761008218356,,,,0.6490866905491411,0.786919833582285,-0.8599207300230071,0.38983274049726924,2.0,8.0,1.0,,S067,Sans enjeu vs en lutte,False,BRUIT
WIN_ADV,2,1152,0.3845486111111111,0.38763889178362987,-0.0030902806725187637,-0.022118055555555557,-0.11189094631530427,0.06765483520419316,0.3568831572239754,0.41298150243181136,-0.23134912250915102,0.8170435873471378,5.0,10.0,1.0,,S068,Serie de nuls,False,BRUIT
WIN_SELF,2,514,0.4260700389105058,0.4401729319017159,-0.014102892991210092,-0.08953307392996111,-0.2079949961027981,0.02892884824287585,0.38402300367584286,0.4692139707194162,-0.7059092500321988,0.48024457478045113,2.0,10.0,1.0,,S069,Victoires serrees en serie,False,BRUIT
DC_SELF,2*,514,0.7003891050583657,0.6897976319034803,0.0105914731548854,,,,0.6594191583149395,0.7383858847715951,0.5628947209420972,0.5735065751615245,6.0,10.0,1.0,,S069,Victoires serrees en serie,False,BRUIT
