provider,competition,season,column,rows,zeros,missing,non_zero,zero_rate,min_value,median_value,max_value,artificial_probability,quality_status,impact
football-data.co.uk,I1,2020-21,ay,380,33,0,347,0.0868421052631579,0.0,2.0,8.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2020-21,hr,380,353,0,27,0.9289473684210526,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2020-21,ar,380,340,0,40,0.8947368421052632,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2020-21,hc,380,9,0,371,0.02368421052631579,0.0,5.0,15.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2020-21,ac,380,8,0,372,0.021052631578947368,0.0,4.0,15.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2021-22,hthg,380,193,0,187,0.5078947368421053,0.0,0.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2021-22,htag,380,212,0,168,0.5578947368421052,0.0,0.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2021-22,hy,380,35,0,345,0.09210526315789473,0.0,2.0,7.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2021-22,ay,380,13,0,367,0.034210526315789476,0.0,2.0,8.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2021-22,hr,380,337,0,43,0.8868421052631579,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2021-22,ar,380,342,0,38,0.9,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2021-22,hc,380,10,0,370,0.02631578947368421,0.0,5.0,20.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2021-22,ac,380,18,0,362,0.04736842105263158,0.0,4.0,15.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2022-23,hthg,380,194,0,186,0.5105263157894737,0.0,0.0,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2022-23,htag,380,221,0,159,0.5815789473684211,0.0,0.0,3.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2022-23,hy,380,44,0,336,0.11578947368421053,0.0,2.0,7.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2022-23,ay,380,24,0,356,0.06315789473684211,0.0,2.0,8.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2022-23,hr,380,348,0,32,0.9157894736842105,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2022-23,ar,380,348,0,32,0.9157894736842105,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2022-23,hc,380,2,0,378,0.005263157894736842,0.0,5.0,14.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2022-23,ac,380,15,0,365,0.039473684210526314,0.0,4.0,14.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2023-24,hthg,380,204,0,176,0.5368421052631579,0.0,0.0,3.0,0.05,OBSERVED,aucun verrou automatique
